Zusammenfassung
Ort;Ohne Baufreigabe;Noch zu bauen;Noch zu montieren;In Betrieb zu nehmen
Sundern;384;0;8;39

Datensätze (Ortsfilter)
CS-ID;Projektkenner;PLZ;Ort;Ortsteil;Straße;Hausnummer;Zusatz;Baufreigabe;HA-Status;Betriebsstatus;HA gebaut am (CL);ONT gebaut am / Montage (AC);Verfügbar ab (AT);Wohneinheiten;Home-IDs;ONT-Seriennummern;Tiefbau;Montagefirma;NVT-Nr;NVT-Nr (gebaut);Rohrfarbe;Strangfarbe;NE4;wohneinheiten_anzahl_montage;ont_typ_we_1;rasternummer_ha_kasette;apl_kabeltyp;kabellaenge_ha_nvt;splitternummer_mux_we_1;barcode_ont_we_1;home_id_ont_we_1;splitternummer_mux_we_2;barcode_ont_we_2;home_id_ont_we_2;splitternummer_mux_we_3;barcode_ont_we_3;home_id_ont_we_3;splitternummer_mux_we_4;barcode_ont_we_4;home_id_ont_we_4;splitternummer_mux_we_5;barcode_ont_we_5;home_id_ont_we_5;splitternummer_mux_we_6;barcode_ont_we_6;home_id_ont_we_6;splitternummer_mux_we_7;barcode_ont_we_7;home_id_ont_we_7;splitternummer_mux_we_8;barcode_ont_we_8;home_id_ont_we_8;splitternummer_mux_we_9;barcode_ont_we_9;home_id_ont_we_9;splitternummer_mux_we_10;barcode_ont_we_10;home_id_ont_we_10;splitternummer_mux_we_11;barcode_ont_we_11;home_id_ont_we_11;splitternummer_mux_we_12;barcode_ont_we_12;home_id_ont_we_12;ONT Datum;APL Datum;ha_gebaut;bemerkungsfeld_des_ont;Offene Stufe
HA213924;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Sträßchen;3;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2025;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213679;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;In den Höfen;8;b;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2026;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213500;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Dompfaffweg;8;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2026;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213551;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Fasanenweg;25;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2025;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213681;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;In den Höfen;10;a;NEIN;Baufreigabe storniert;homesPrepared;01.10.2025;;30.07.2026;;;;Albatrosbau;Albatrosbau;;864;gelb (4);blau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2025;;Ohne Baufreigabe
HA213959;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Am Kurplatz;8;;NEIN;Baufreigabe storniert;homesPrepared;10.09.2024;;30.07.2026;;;;Albatrosbau;Albatrosbau;;868;weiß_strich (17);blau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.09.2024;;Ohne Baufreigabe
HA213753;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Langscheider Straße;36;a;NEIN;Baufreigabe storniert;homesPrepared;20.06.2025;;30.07.2026;;;;Albatrosbau;Albatrosbau;;868;schwarz (10);rot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.06.2025;;Ohne Baufreigabe
HA213971;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;55;;NEIN;Baufreigabe storniert;homesPrepared;29.05.2025;;30.07.2026;;;;Albatrosbau;Albatrosbau;;868;grau (6);blau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.05.2025;;Ohne Baufreigabe
HA219484;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;In der Schlaa;3;;NEIN;Baufreigabe storniert;homesPassed;;;14.03.2026;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA259832;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Am Hesslieth;6;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2026;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA302251;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Am Sorpesee;47;;JA;Homes Prepared NE4;homesPreparedNE4;30.06.2025;26.02.2026;14.03.2026;2;;;Albatrosbau;Albatrosbau;873;873;tuerkis (9);rot;Ja;2;;27;1x12;600;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.02.2026;26.02.2026;30.06.2025;NE4 Dienstleister hat schon alles vergeben, Daten übernommen;Montiert, nicht in Betrieb
HA213913;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Schwalbenweg;20;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2026;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213600;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Hakenbrinkweg;10;;JA;HA betriebsbereit;homesConnected;21.09.2025;09.10.2025;08.03.2026;1;W00R6C1E;ALCLFD87FC58;Albatrosbau;Albatrosbau;869;869;violett (8);blau;;1;Nokia G-010G-R ONT;10;1x12;294;1;ALCLFD87FC58;W00R6C1E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.10.2025;09.10.2025;21.09.2025;;Betriebsbereit
HA219486;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Zanderweg;13;;JA;HA betriebsbereit;homesConnected;08.06.2025;09.12.2025;08.03.2026;1;W00LWKMA;ALCLFDEE9F95;Albatrosbau;Albatrosbau;867;867;orange (11);blau;;1;Nokia G-010G-R ONT;09;1x12;408;1;ALCLFDEE9F95;W00LWKMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.12.2025;09.12.2025;08.06.2025;;Betriebsbereit
HA213457;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;18;i;JA;HA betriebsbereit;homesConnected;29.10.2025;21.11.2025;08.03.2026;1;W00LWK73;ALCLFD8416BB;Albatrosbau;Albatrosbau;861;861;tuerkis (9);gelb;;1;Nokia G-010G-R ONT;46;1x12;363;2;ALCLFD8416BB;W00LWK73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.11.2025;21.11.2025;29.10.2025;;Betriebsbereit
HA213418;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Amselweg;6;;JA;HA betriebsbereit;homesConnected;29.04.2024;17.03.2025;28.01.2026;2;W009T8CN | W009T8H6;ALCLFC8DDB4E | ALCLFD40BA50;Albatrosbau;Albatrosbau;870;870;braun (7);blau;;2;Nokia G-010G-Q ONT;41;1x12;210;2;ALCLFC8DDB4E;W009T8CN;2;ALCLFD40BA50;W009T8H6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.03.2025;17.03.2025;29.04.2024;;Betriebsbereit
HA213400;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Am Sorpesee;17;a;JA;HA betriebsbereit;homesConnected;30.09.2025;27.02.2026;09.03.2026;1;W00LWM9C;ALCLFDF4435A;Albatrosbau;Albatrosbau;872;872;grau (6);gruen;;1;Nokia G-010G-R ONT;15;1x12;170;1;ALCLFDF4435A;W00LWM9C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.02.2026;27.02.2026;30.09.2025;;Betriebsbereit
HA213579;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Forellenweg;6;;JA;HA betriebsbereit;homesConnected;30.10.2025;08.12.2025;09.03.2026;1;W006C7Z2;ALCLFDAFCD51;Albatrosbau;Albatrosbau;867;867;blau_strich (15);gelb;;1;Nokia XS-010X-R ONT;23;1x12;193;1;ALCLFDAFCD51;W006C7Z2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.12.2025;08.12.2025;30.10.2025;;Betriebsbereit
HA337286;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Zum Rosengarten;10;;NEIN;Baufreigabe storniert;homesPassed;;;30.07.2025;;;;Albatrosbau;Albatrosbau;;890;braun (7);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA213754;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Langscheider Straße;37;;JA;HA betriebsbereit;homesConnected;19.06.2025;08.12.2025;08.03.2026;2;W00MZECP | W00MZEAL;ALCLFD8415FB | ALCLFDF4434D;Albatrosbau;Albatrosbau;868;868;violett_strich (20);gruen;;2;Nokia G-010G-R ONT;30;1x12;291;2;ALCLFD8415FB;W00MZECP;2;ALCLFDF4434D;W00MZEAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.12.2025;08.12.2025;19.06.2025;;Betriebsbereit
HA213512;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Drosselweg;9;;JA;HA betriebsbereit;homesConnected;14.09.2025;06.10.2025;28.01.2026;1;W00R6CCF;ALCLFD88D4F8;Albatrosbau;Albatrosbau;869;869;weiß (5);gelb;;1;Nokia G-010G-R ONT;41;1x12;454;2;ALCLFD88D4F8;W00R6CCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.10.2025;06.10.2025;14.09.2025;;Betriebsbereit
HA213491;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;89;;JA;HA betriebsbereit;homesConnected;04.06.2025;10.10.2025;08.03.2026;1;W00R8VXN;ALCLFD880A7B;Albatrosbau;Albatrosbau;869;869;gruen (2);rot;;1;Nokia G-010G-R ONT;55;1x12;165;3;ALCLFD880A7B;W00R8VXN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.10.2025;10.10.2025;04.06.2025;;Betriebsbereit
